Модель,Признак,Средний |SHAP|,Std |SHAP| по фолдам,Ранг SHAP,Падение ROC-AUC,Std падения по фолдам,Ранг permutation
CatBoost,A1_norm,0.09693189730381979,0.007989045445706472,15.0,0.0031906755777437613,0.0005611602579279223,12.0
CatBoost,A2_norm,0.005383480287920597,0.0006177934172183175,43.0,-7.264244018409836e-05,7.745975464567653e-05,45.0
CatBoost,A3_norm,0.03043460098859863,0.008484196382989685,36.0,0.0003984404801700765,0.0002531282365229357,30.0
CatBoost,A4_norm,0.11818894103397583,0.007241219374503376,10.0,0.005673074655078022,0.0010377162872720151,9.0
CatBoost,A5_norm,0.0009282394494862964,0.000985884158260969,45.0,-7.574334210946886e-06,3.112351873144553e-05,44.0
CatBoost,A6_norm,0.03667639257111833,0.012387260010033752,30.0,0.0003475043534629549,0.0001590698886246407,32.0
CatBoost,B1_norm,0.17439068672857025,0.01454297105502299,7.0,0.002767682054460393,0.0009038529161212473,14.0
CatBoost,B2_norm,0.05942467578761277,0.011132163422097266,22.0,0.00044053141122146755,0.0005769823667412789,28.0
CatBoost,B3_norm,0.09903939147324207,0.009628389048801214,14.0,0.0013393862938915078,0.00036423186634544955,20.0
CatBoost,C1_norm,0.052271171478437094,0.02191809476832042,24.0,0.001955499922324947,0.001987362011233049,16.0
CatBoost,C2_norm,0.06571522856930669,0.02757357468456995,19.0,0.0014325150205655292,0.001317750810614041,19.0
CatBoost,C3_norm,0.06004534781972378,0.010041290497673988,21.0,0.000289756409411769,0.0003370847921840517,34.0
CatBoost,C4_norm,0.1645383328702151,0.021751218092089696,8.0,0.003064707791336336,0.0009110698436990201,13.0
CatBoost,D1_norm,0.08746698480832167,0.016055316021474548,16.0,0.0038093309290668166,0.0005816875766164141,11.0
CatBoost,D2_norm,0.031984240330016935,0.0013691076289015726,34.0,0.00034567431298245427,0.0006485654586443295,33.0
CatBoost,D3_norm,0.013834637908620889,0.0019384369095951338,41.0,-0.00018473241961443806,0.000417403218768277,47.0
CatBoost,D4_norm,0.030977758702708042,0.0020284992728914586,35.0,0.0010717937080768254,0.0006235367440147379,22.0
CatBoost,D5_norm,0.17757542088214776,0.021080237625953305,6.0,0.005773371040300734,0.001456337624087651,8.0
