Признак,Среднее: слепая зона,Среднее: хорошо ранжированный дефолт,SMD,|SMD|,В Stage 2 top-10,Сравнение,Среднее: высокорисковый недефолт,Среднее: типичный недефолт
Q_A5_norm,13.388434972822296,-56.50009450891053,1.3448484146741106,1.3448484146741106,True,Общая слепая зона vs хорошо ранжированные дефолты,,
D5_norm,14.490512401643008,-54.10801194235357,1.202079651254674,1.202079651254674,True,Общая слепая зона vs хорошо ранжированные дефолты,,
D4_norm,14.611143893563414,-53.71833899843209,1.197563574101257,1.197563574101257,False,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_D6_norm,13.702330661560438,-32.440438632258136,1.1375964119888975,1.1375964119888975,True,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_B3_norm,15.67360850742885,-40.19334199879926,0.894920244994652,0.894920244994652,True,Общая слепая зона vs хорошо ранжированные дефолты,,
D1_norm,7.93379249380242,-31.879090544307306,0.8737371597127112,0.8737371597127112,False,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_C1_norm,9.377553828458609,-27.479872751753682,0.8608485687671974,0.8608485687671974,True,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_D4_norm,7.910922446162064,-72.34735083880533,0.8400462077852682,0.8400462077852682,True,Общая слепая зона vs хорошо ранжированные дефолты,,
F1_norm,6.200419435219735,-27.16709109757718,0.7890382761267075,0.7890382761267075,False,Общая слепая зона vs хорошо ранжированные дефолты,,
D3_norm,7.293123876159976,-31.605302764981722,0.7849827950438214,0.7849827950438214,False,Общая слепая зона vs хорошо ранжированные дефолты,,
A1_norm,9.785383559550558,-31.30145964376432,0.7670617164270804,0.7670617164270804,False,Общая слепая зона vs хорошо ранжированные дефолты,,
A5_norm,8.276924896240235,-32.147218870607844,0.7301078747773774,0.7301078747773774,False,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_B5_norm,8.62962177821568,-29.16529928181452,0.6556607956992566,0.6556607956992566,False,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_D3_norm,5.931916259386525,-31.102355911805212,0.6426386217273767,0.6426386217273767,False,Общая слепая зона vs хорошо ранжированные дефолты,,
F3_norm,8.747034350565132,-19.46050129734439,0.5040312510301487,0.5040312510301487,False,Общая слепая зона vs хорошо ранжированные дефолты,,
E1_norm,3.2589101788744053,-17.242266083407472,0.4869399119325143,0.4869399119325143,False,Общая слепая зона vs хорошо ранжированные дефолты,,
G1_norm,-1.7056806603573864,-21.477104407712506,0.47546824967463047,0.47546824967463047,True,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_A4_norm,8.106667337358369,-14.994575383138615,0.45663383282432146,0.45663383282432146,True,Общая слепая зона vs хорошо ранжированные дефолты,,
E2_norm,2.0733095856742088,-16.505594914779998,0.4327325473504629,0.4327325473504629,False,Общая слепая зона vs хорошо ранжированные дефолты,,
A4_norm,7.2115207560082775,-11.441783162486901,0.38440115449740203,0.38440115449740203,True,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_B4_norm,5.139438193184989,-14.105709046292779,0.381357488495592,0.381357488495592,False,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_A6_norm,5.374136340692177,-12.299567470624327,0.3732826227667204,0.3732826227667204,False,Общая слепая зона vs хорошо ранжированные дефолты,,
G3_norm,2.1813498895360817,-14.950437966493814,0.363830499652063,0.363830499652063,False,Общая слепая зона vs хорошо ранжированные дефолты,,
G4_norm,3.0679976749309104,-13.871802437958921,0.356033773770246,0.356033773770246,False,Общая слепая зона vs хорошо ранжированные дефолты,,
G2_norm,1.0900336667802764,-14.087480890783242,0.3389529157217508,0.3389529157217508,False,Общая слепая зона vs хорошо ранжированные дефолты,,
B3_norm,0.9672541422503335,-13.42065833307757,0.3322133371376837,0.3322133371376837,False,Общая слепая зона vs хорошо ранжированные дефолты,,
F4_norm,-4.928263369073038,15.595562949526066,-0.32280543418490276,0.32280543418490276,False,Общая слепая зона vs хорошо ранжированные дефолты,,
F2_norm,1.1901009342129927,-11.27722994780195,0.3009943207230366,0.3009943207230366,False,Общая слепая зона vs хорошо ранжированные дефолты,,
B2_norm,3.2060710533065087,-11.249334392882488,0.29461082270951217,0.29461082270951217,False,Общая слепая зона vs хорошо ранжированные дефолты,,
D2_norm,0.555101799187453,-12.160330916014887,0.253246462372764,0.253246462372764,False,Общая слепая зона vs хорошо ранжированные дефолты,,
E3_norm,1.4167107228814444,-9.08443522778835,0.2432004060094548,0.2432004060094548,False,Общая слепая зона vs хорошо ранжированные дефолты,,
B1_norm,0.5155137726423903,-9.499291308040098,0.21658819255261044,0.21658819255261044,False,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_A2_norm,2.731462154033021,-7.190912800604048,0.2056388912977882,0.2056388912977882,False,Общая слепая зона vs хорошо ранжированные дефолты,,
A2_norm,-0.9058888094765799,9.384444297379089,-0.17609089147629803,0.17609089147629803,False,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_A7_norm,3.4860394590389654,-4.743910929809479,0.16389296044159077,0.16389296044159077,False,Общая слепая зона vs хорошо ранжированные дефолты,,
C1_norm,0.35452354989066626,8.390588522297941,-0.1374237564808931,0.1374237564808931,False,Общая слепая зона vs хорошо ранжированные дефолты,,
G5_norm,2.556769386470688,7.732013490388088,-0.11505026472339704,0.11505026472339704,False,Общая слепая зона vs хорошо ранжированные дефолты,,
C2_norm,0.5275048911664056,6.5687315716409005,-0.10564433672729903,0.10564433672729903,False,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_A1_norm,0.9633299658942667,-4.265415185540599,0.10424062681621725,0.10424062681621725,False,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_A3_norm,-0.5208393594493037,-5.253855187304083,0.08939937444806463,0.08939937444806463,False,Общая слепая зона vs хорошо ранжированные дефолты,,
A6_norm,-1.2495001246099886,-5.135218703659765,0.08332594524784091,0.08332594524784091,False,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_D2_norm,-6.407477690640444,0.12575862290304907,-0.06048023869697648,0.06048023869697648,False,Общая слепая зона vs хорошо ранжированные дефолты,,
A3_norm,3.1082240113143964,1.2488269023728575,0.03828627572882405,0.03828627572882405,False,Общая слепая зона vs хорошо ранжированные дефолты,,
C4_norm,-0.017892367869430447,-1.8853804947922055,0.03672705299123822,0.03672705299123822,True,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_D5_norm,-2.757536176124715,-1.6433723962189448,-0.024312001481379145,0.024312001481379145,False,Общая слепая зона vs хорошо ранжированные дефолты,,
C3_norm,-0.22930884109520763,-1.3120533588293437,0.021291832955488463,0.021291832955488463,False,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_D1_norm,-0.7013929509228061,-0.3311101940558017,-0.00849187061072733,0.00849187061072733,False,Общая слепая зона vs хорошо ранжированные дефолты,,
Q_A5_norm,,,-1.361810754517093,1.361810754517093,True,Высокорисковые недефолты vs типичные недефолты,-65.15235190682934,6.794724879758913
D5_norm,,,-1.1544485707723493,1.1544485707723493,True,Высокорисковые недефолты vs типичные недефолты,-63.74005339685775,7.352405472170212
D4_norm,,,-1.144232155469106,1.144232155469106,False,Высокорисковые недефолты vs типичные недефолты,-63.275450442055856,7.346572088468736
Q_D6_norm,,,-0.7747161567963213,0.7747161567963213,True,Высокорисковые недефолты vs типичные недефолты,-33.33620916379745,-3.6147266608025923
F1_norm,,,-0.7144888991906434,0.7144888991906434,False,Высокорисковые недефолты vs типичные недефолты,-28.274304847938573,0.9789756154720197
D3_norm,,,-0.7127087592624549,0.7127087592624549,False,Высокорисковые недефолты vs типичные недефолты,-35.227690250161544,1.4034101943720747
Q_C1_norm,,,-0.7080038892647111,0.7080038892647111,True,Высокорисковые недефолты vs типичные недефолты,-29.578178624246043,-1.2795486289715596
Q_B3_norm,,,-0.6994886779794642,0.6994886779794642,True,Высокорисковые недефолты vs типичные недефолты,-36.68914403942228,8.979949287203905
Q_D4_norm,,,-0.6261695355273049,0.6261695355273049,True,Высокорисковые недефолты vs типичные недефолты,-46.209230481740065,5.432690494702014
D1_norm,,,-0.5943389735533618,0.5943389735533618,False,Высокорисковые недефолты vs типичные недефолты,-30.21687204419911,-2.752078572999644
A5_norm,,,-0.582337826338704,0.582337826338704,False,Высокорисковые недефолты vs типичные недефолты,-31.660001039322122,2.1705864691787413
G1_norm,,,-0.5756685198399736,0.5756685198399736,True,Высокорисковые недефолты vs типичные недефолты,-23.331614055844394,3.3858679978758524
Q_B5_norm,,,-0.5255506335226006,0.5255506335226006,False,Высокорисковые недефолты vs типичные недефолты,-28.902474842056904,2.8195729588604252
A1_norm,,,-0.4822990576526128,0.4822990576526128,False,Высокорисковые недефолты vs типичные недефолты,-28.902777572907556,-1.6953509158101263
Q_A6_norm,,,-0.4503328191957197,0.4503328191957197,False,Высокорисковые недефолты vs типичные недефолты,-16.537106133824082,3.778304306300257
F3_norm,,,-0.4338140768770989,0.4338140768770989,False,Высокорисковые недефолты vs типичные недефолты,-23.738846589829482,2.70952703040618
Q_D3_norm,,,-0.41068279289590787,0.41068279289590787,False,Высокорисковые недефолты vs типичные недефолты,-20.693726881237414,2.4867100479806195
E1_norm,,,-0.4039590477994533,0.4039590477994533,False,Высокорисковые недефолты vs типичные недефолты,-16.567374493735308,0.9639853503426392
G2_norm,,,-0.36951103331890184,0.36951103331890184,False,Высокорисковые недефолты vs типичные недефолты,-15.618724582868749,1.6008143651252393
E2_norm,,,-0.35266897202495023,0.35266897202495023,False,Высокорисковые недефолты vs типичные недефолты,-16.011498153562115,-1.0276001113310431
G3_norm,,,-0.35036519802655197,0.35036519802655197,False,Высокорисковые недефолты vs типичные недефолты,-15.588273892330106,1.3662368740117212
B3_norm,,,-0.34227821952027576,0.34227821952027576,False,Высокорисковые недефолты vs типичные недефолты,-15.640494467100503,-1.5894418558767665
