Группа,Скор,Зона риска,Размер группы,Спасено дефолтов,"Доля спасённых, %",Недефолтов в зоне,"Доля всех недефолтов в зоне, %"
Глубоко пропущенные дефолты,Q_B1_norm,top-10%,1278,436,34.11580594679186,144,0.0550460819804357
Глубоко пропущенные дефолты,Q_B1_norm,top-20%,1278,608,47.57433489827856,36924,14.114732854483389
Глубоко пропущенные дефолты,Q_B1_norm,top-30%,1278,661,51.72143974960876,55769,21.318506569214716
Глубоко пропущенные дефолты,Q_B2_norm,top-10%,1278,550,43.03599374021909,11752,4.49237191273667
Глубоко пропущенные дефолты,Q_B2_norm,top-20%,1278,625,48.90453834115806,29187,11.157152741409563
Глубоко пропущенные дефолты,Q_B2_norm,top-30%,1278,791,61.893583724569645,71049,27.159507490472055
Глубоко пропущенные дефолты,Q_B1/Q_B2 mean-rank,top-10%,1278,458,35.83724569640063,2474,0.9457222695805413
Глубоко пропущенные дефолты,Q_B1/Q_B2 mean-rank,top-20%,1278,540,42.25352112676056,21889,8.367386725484424
Глубоко пропущенные дефолты,Q_B1/Q_B2 mean-rank,top-30%,1278,626,48.98278560250392,39236,14.99852828183594
Общая слепая зона,Q_B1_norm,top-10%,805,283,35.15527950310559,144,0.0550460819804357
Общая слепая зона,Q_B1_norm,top-20%,805,385,47.82608695652174,36924,14.114732854483389
Общая слепая зона,Q_B1_norm,top-30%,805,420,52.17391304347826,55769,21.318506569214716
Общая слепая зона,Q_B2_norm,top-10%,805,349,43.35403726708075,11752,4.49237191273667
Общая слепая зона,Q_B2_norm,top-20%,805,391,48.57142857142857,29187,11.157152741409563
Общая слепая зона,Q_B2_norm,top-30%,805,493,61.24223602484472,71049,27.159507490472055
Общая слепая зона,Q_B1/Q_B2 mean-rank,top-10%,805,295,36.64596273291926,2474,0.9457222695805413
Общая слепая зона,Q_B1/Q_B2 mean-rank,top-20%,805,339,42.11180124223603,21889,8.367386725484424
Общая слепая зона,Q_B1/Q_B2 mean-rank,top-30%,805,389,48.32298136645963,39236,14.99852828183594
