feature,source,status,display_name,description,reason
A1_norm,BASE,Используется,,,
A2_norm,BASE,Используется,,,
A3_norm,BASE,Используется,,,
A4_norm,BASE,Используется,,,
A5_norm,BASE,Используется,,,
A6_norm,BASE,Используется,,,
B1_norm,BASE,Используется,,,
B2_norm,BASE,Используется,,,
B3_norm,BASE,Используется,,,
C1_norm,BASE,Используется,,,
C2_norm,BASE,Используется,,,
C3_norm,BASE,Используется,,,
C4_norm,BASE,Используется,,,
D1_norm,BASE,Используется,,,
D2_norm,BASE,Используется,,,
D3_norm,BASE,Используется,,,
D4_norm,BASE,Используется,,,
D5_norm,BASE,Используется,,,
E1_norm,BASE,Используется,,,
E2_norm,BASE,Используется,,,
E3_norm,BASE,Используется,,,
F1_norm,BASE,Используется,,,
F2_norm,BASE,Используется,,,
F3_norm,BASE,Используется,,,
F4_norm,BASE,Используется,,,
G1_norm,BASE,Используется,,,
G2_norm,BASE,Используется,,,
G3_norm,BASE,Используется,,,
G4_norm,BASE,Используется,,,
G5_norm,BASE,Используется,,,
Q_A1_norm,BASE,Используется,Регион регистрации,Регион регистрации,
Q_A4_norm,BASE,Используется,Отраслевая характеристика,Отраслевая характеристика,
Q_A5_norm,BASE,Используется,Численность сотрудников,Численность сотрудников,
Q_A6_norm,BASE,Используется,Размер компании,Размер компании,
Q_B3_norm,BASE,Используется,Количество активных исполнительных производств,Количество активных исполнительных производств,
Q_C1_norm,BASE,Используется,Кредитная история,Кредитная история,
Q_D4_norm,BASE,Используется,Число компаний с аналогичным руководителем (по ИНН),Число компаний с аналогичным руководителем (по ИНН),
Q_D6_norm,BASE,Используется,Режим налогообложения,Режим налогообложения,
Q_B1_norm,BASE / SPARK,Маркер,Индекс финансового риска (ИФР),Индекс финансового риска (ИФР); показатель Spark,Перетягивает важность; в итоге убираем
Q_B2_norm,BASE / SPARK,Маркер,Индекс должной осмотрительности (ИДО),,Маркер; оставляется для benchmark
Q_A2_norm,BASE,Слабый / избыточный,,,Исключён при feature selection
Q_A3_norm,BASE,Слабый / избыточный,,,Исключён при feature selection
Q_A7_norm,BASE,Слабый / избыточный,,,Исключён при feature selection
Q_B4_norm,BASE,Слабый / избыточный,,,Исключён при feature selection
Q_B5_norm,BASE,Слабый / избыточный,,,Исключён при feature selection
Q_D1_norm,BASE,Слабый / избыточный,,,Исключён при feature selection
Q_D2_norm,BASE,Слабый / избыточный,,,Исключён при feature selection
Q_D3_norm,BASE,Слабый / избыточный,,,Исключён при feature selection
Q_D5_norm,BASE,Слабый / избыточный,,,Исключён при feature selection
spark_revenue_growth_1y,SPARK,Используется,Рост выручки за 1 год,Рост выручки за 1 год,
spark_equity_growth_1y,SPARK,Используется,Рост собственного капитала за 1 год,Рост собственного капитала за 1 год,
spark_profit_growth_1y,SPARK,Используется,Рост прибыли за 1 год,Рост прибыли за 1 год,
spark_equity_last,SPARK,Используется,Собственный капитал за последний доступный год,Собственный капитал за последний доступный год,
spark_profit_margin_last,SPARK,Используется,Рентабельность прибыли за последний год,Рентабельность прибыли за последний год,
spark_profit_margin_change_1y,SPARK,Используется,Изменение рентабельности за 1 год,Изменение рентабельности за 1 год,
spark_revenue_last,SPARK,Используется,Выручка за последний доступный год,Выручка за последний доступный год,
spark_loss_last_year,SPARK,Используется,Убыток за последний год,Убыток за последний год,
spark_loss_count_3y,SPARK,Используется,Количество лет с убытком за 3 года,Количество лет с убытком за 3 года,
